Q33,Q33A1,Q33A2,Q33A3,Q32,Q50,Q58A1,Q58A2,D_SIZE,D_IND,D_INDSIZE,WT,year
2, , , ,2,3,5,5,2,10,102,130.4223304,2019
2, , , ,2,3,2,2,1,7,71,172.846952,2019
2, , , ,2,2,5,4,2,7,72,56.24678604,2019
2, , , ,2,3,5,5,2,10,102,130.4223304,2019
2, , , ,2,2,4,4,4,6,64,4.245849168,2019
2, , , ,2,3,3,4,1,12,121,2337.957552,2019
2, , , ,2,3,2,2,1,10,101,340.7534482,2019
2, , , ,2,3,2,2,1,7,71,191.8662722,2019
1,0,0,1,2,3,4,4,2,10,102,71.50868936,2019
1,0,1,0,2,3,3,3,4,13,134,53.68669577,2019
2, , , ,2,3,4,4,2,10,102,117.4938253,2019
2, , , ,2,3,3,3,2,7,72,56.75478415,2019
2, , , ,2,2,3,3,2,2,22,111.5062705,2019
1,0,0,1,2,3,5,2,4,11,114,15.38502695,2019
2, , , ,2,2,2,4,1,10,101,378.2484627,2019
2, , , ,2,2,3,3,3,11,113,39.85520294,2019
1,0,0,1,2,3,4,3,3,2,23,74.23358835,2019
2, , , ,2,3,3,3,2,5,52,61.73692792,2019
2, , , ,2,3,4,3,4,11,114,15.38502695,2019
1,0,1,1,2,2,4,4,2,10,102,73.90051307,2019
2, , , , ,3,2,1,1,12,121,2416.157591,2019
2, , , ,2,3,1,1,1,2,21,202.612735,2019
1,0,1,0,2,3,4,2,3,13,133,310.9131204,2019
2, , , ,2,2,5,5,3,10,103,46.46815968,2019
2, , , ,2,2,5,5,2,10,102,73.90051307,2019
2, , , ,2,3,3,3,3,2,23,74.23358835,2019
2, , , ,2,2,5,4,4,7,74,13.3304783,2019
2, , , ,2,3,3,3,3,10,103,79.35445986,2019
2, , , ,2,3,1,1,1,2,21,202.612735,2019
2, , , ,2,2,3,4,1,11,111,214.9483273,2019
2, , , ,2,3,3,3,4,8,84,7.710653452,2019
1,0,1,0,2,3,4,3,3,13,133,176.4370087,2019
2, , , ,2,3,3,3,1,11,111,238.6002982,2019
2, , , ,2,3,4,2,1,2,21,202.612735,2019
1,0,0,1,2,3,4,4,3,10,103,44.96419656,2019
2, , , ,2,2,4,5,1,6,61,2320.974172,2019
2, , , ,2,3,3,3,1,13,131,1301.518152,2019
2, , , ,2,2,4,5,1,2,21,202.612735,2019
1,0,0,1,2,3,4,4,3,2,23,74.23358835,2019
2, , , ,2,3,4,2,1,8,81,95.32977845,2019
2, , , ,2,3,3,3,4,11,114,13.15412364,2019
2, , , ,2,2,5,4,4,11,114,13.15412364,2019
2, , , ,2,3,3,3,1,13,131,1301.518152,2019
2, , , , ,3,1,1,1,4,41,4201.908372,2019
1,0,1,0,2,3,4,2,3,13,133,292.0266157,2019
2, , , ,2,3,4,3,2,12,122,130.4935467,2019
2, , , ,2,3,4,4,3,11,113,39.85520294,2019
1,0,0,1,2,3,4,3,1,13,131,1301.518152,2019
1,1,0,0,2,3,5,5,4,10,104,8.825180653,2019
2, , , ,2,2,5,5,5,3,35,1.33472132,2019
2, , , ,2,2,4,4,5,7,75,4.456038067,2019
2, , , ,2,2,4,4,2,4,42,461.4971149,2019
2, , , ,2,3,5,3,2,4,42,512.2782327,2019
1,0,0,1,2,3,5,5,4,13,134,79.75756446,2019
2, , , ,2,3,4,3,3,4,43,159.1949239,2019
2, , , ,2,2,3,3,2,10,102,117.4938253,2019
2, , , ,2,2,3,1,1,5,51,2000.932097,2019
2, , , ,2,2,4,3,3,13,133,279.0689436,2019
2, , , ,2,3,3,3,2,11,112,45.07405045,2019
2, , , , ,3,1,1,2,2,22,111.5062705,2019
1,0,1,1,2,2,3,4,4,5,54,14.19498212,2019
2, , , ,2,3,4,2,3,13,133,176.4370087,2019
2, , , ,2,3,4,3,1,5,51,2000.932097,2019
2, , , ,2,2,2,3,2,9,92,97.12594302,2019
2, , , ,2,3,3,3,1,13,131,1301.518152,2019
2, , , ,2,2,4,3,2,10,102,130.4223304,2019
1,1,0,0,2,2,5,5,4,10,104,14.03108302,2019
2, , , ,2,2,2,3,1,5,51,2000.932097,2019
2, , , ,2,2,4,2,2,7,72,58.65311901,2019
1,1,0,0,2,2,2,3,3,9,93,58.39052142,2019
2, , , ,2,3,4,4,2,11,112,50.03380121,2019
1,0,0,1,2,3,3,3,2,13,132,381.673761,2019
2, , , ,2,2,5,5,4,3,34,17.50714507,2019
2, , , ,2,2,3,1,1,5,51,2000.932097,2019
2, , , ,2,3,2,4,2,13,132,394.4399907,2019
2, , , ,2,3,3,3,3,11,113,42.79087927,2019
2, , , ,2,3,3,1,1,5,51,2000.932097,2019
2, , , ,2,3,4,4,1,12,121,2106.20049,2019
2, , , ,2,3,5,4,3,10,103,46.46815968,2019
2, , , ,2,3,3,3,3,4,43,143.4142491,2019
2, , , ,2,2,3,1,1,5,51,2000.932097,2019
2, , , ,2,2,4,4,1,11,111,215.0384698,2019
2, , , ,2,3,3,3,4,12,124,6.133778922,2019
1,0,1,0,2,3,4,2,3,13,133,176.1710518,2019
2, , , ,2,3,4,3,3,3,33,159.7322528,2019
2, , , ,2,2,3,3,1,11,111,238.6002982,2019
2, , , ,2,3,5,3,3,11,113,42.79087927,2019
2, , , ,2,3,4,4,1,11,111,215.0384698,2019
2, , , ,2,3,3,1,1,5,51,2000.932097,2019
2, , , ,2,2,4,4,2,8,82,50.21992957,2019
2, , , ,2,2,3,4,2,10,102,117.4938253,2019
2, , , ,2,3,2,4,1,12,121,2337.957552,2019
1,0,1,0,2,3,2,2,1,13,131,1450.032615,2019
2, , , ,2,3,3,3,1,5,51,2000.932097,2019
2, , , ,2,2,3,3,3,9,93,51.94971263,2019
2, , , ,2,3,4,3,1,11,111,193.7221359,2019
2, , , ,2,3,4,3,2,10,102,73.90051307,2019
2, , , ,2,3,4,2,1,5,51,2000.932097,2019
1,0,1,0,2,3,4,2,2,2,22,108.2932241,2019
2, , , ,2,3,5,4,3,13,133,163.6631028,2019
2, , , ,2,3,1,1,1,12,121,2337.957552,2019
2, , , , ,3,3,3,1,12,121,2177.561533,2019
1,0,1,0,2,2,4,4,4,10,104,14.03108302,2019
2, , , ,2,3,3,1,1,5,51,2000.932097,2019
2, , , ,2,2,4,3,1,5,51,2000.932097,2019
2, , , ,2,2,4,4,2,10,102,73.90051307,2019
1,1,0,1,2,3,4,4,4,13,134,49.79981962,2019
2, , , ,2,3,4,4,1,12,121,2045.284947,2019
2, , , ,2,3,2,2,4,2,24,28.23324225,2019
2, , , ,2,3,3,1,1,5,51,2000.932097,2019
2, , , ,2,2,3,1,1,5,51,2000.932097,2019
2, , , , ,3,3,3,1,12,121,2177.561533,2019
2, , , ,2,3,4,3,3,6,63,87.13863982,2019
2, , , ,2,3,3,1,1,5,51,2000.932097,2019
2, , , , ,3,1,1,1,4,41,4201.908372,2019
2, , , ,2,2,4,4,4,5,54,14.19498212,2019
2, , , ,2,3,2,2,1,4,41,3785.38159,2019
1,0,1,0,2,2,4,4,4,5,54,14.19498212,2019
2, , , ,2,3,3,2,2,4,42,510.4378365,2019
2, , , ,2,3,2,2,3,6,63,87.13863982,2019
2, , , ,2,2,4,4,1,10,101,397.7939516,2019
2, , , ,2,2,3,3,2,4,42,566.6041765,2019
1,0,1,0,2,3,3,2,1,2,21,218.4266599,2019
2, , , ,2,3,3,4,5,11,115,4.353024311,2019
2, , , ,2,3,3,2,2,5,52,55.61706959,2019
2, , , ,2,3,4,3,3,4,43,138.7725817,2019
1,0,1,0,2,2,4,4,1,2,21,196.7744615,2019
2, , , ,2,3,2,2,1,12,121,2195.937664,2019
2, , , ,2,2,4,2,1,5,51,2000.932097,2019
1,1,0,1,2,2,5,5,5,3,35,3.311875178,2019
1,0,1,0,3,3,4,5,5,11,115,4.353024311,2019
1,1,0,0,2,1,5,5,4,10,104,14.50039489,2019
2, , , ,2,3,2,4,3,2,23,74.23358835,2019
2, , , ,2,3,3,4,1,12,121,2337.957552,2019
2, , , ,2,2,4,2,1,10,101,225.3998762,2019
1,0,1,0,2,3,4,2,2,2,22,108.2932241,2019
2, , , ,2,2,4,4,2,2,22,100.4528767,2019
1,1,0,0,2,3,4,4,3,11,113,44.22214924,2019
2, , , ,2,3,3,4,1,12,121,2337.957552,2019
1,0,1,0,2,3,4,3,2,13,132,425.2260337,2019
2, , , ,2,3,5,4,5,11,115,4.353024311,2019
2, , , ,2,3,3,2,2,5,52,59.73878417,2019
2, , , ,2,3,2,1,1,5,51,2000.932097,2019
2, , , ,2,3,3,4,1,12,121,2337.957552,2019
2, , , ,2,3,4,3,4,8,84,12.25910528,2019
2, , , ,2,2,4,3,1,10,101,397.7939516,2019
2, , , ,2,3,3,1,1,5,51,2000.932097,2019
1,1,0,0,2,2,3,2,5,5,55,2.041571622,2019
1,0,1,0,2,3,2,2,2,1,12,6.648338661,2019
2, , , ,2,3,1,4,1,12,121,1324.744483,2019
2, , , ,2,2,3,2,1,5,51,2000.932097,2019
2, , , ,2,3,4,3,5,11,115,4.353024311,2019
1,0,1,0,2,3,3,2,5,11,115,4.829986465,2019
2, , , ,2,3,3,3,1,2,21,196.0550817,2019
2, , , ,2,3,3,3,1,11,111,279.0662548,2019
2, , , ,2,2,4,4,1,10,101,397.7939516,2019
2, , , ,2,3,3,3,3,4,43,143.4142491,2019
2, , , ,2,3,4,4,4,8,84,7.710653452,2019
2, , , ,2,3,3,3,1,6,61,2411.574395,2019
2, , , ,3,1,5,5,5,11,115,4.353024311,2019
1,0,1,0,2,3,4,2,2,1,12,10.57013962,2019
2, , , ,2,3,4,3,1,4,41,3676.072548,2019
2, , , ,2,2,5,5,3,2,23,85.15810761,2019
2, , , ,2,3,1,1,1,10,101,378.2484627,2019
2, , , ,2,2,3,3,1,10,101,358.3614318,2019
1,1,0,0,2,2,4,4,4,7,74,13.71127054,2019
2, , , ,2,3,4,3,1,13,131,1301.518152,2019
2, , , ,2,3,4,4,2,13,132,394.4399907,2019
2, , , ,2,3,5,5,4,11,114,11.85515123,2019
2, , , , ,3,1,1,2,6,62,528.950255,2019
2, , , , ,3,1,1,1,2,21,202.612735,2019
1,1,0,0,2,3,2,2,4,10,104,9.120365427,2019
1,0,0,1,2,3,5,5,1,13,131,737.4723251,2019
2, , , ,2,3,3,4,1,11,111,251.4029745,2019
2, , , ,2,3,3,4,1,9,91,809.9354492,2019
2, , , ,3,3,4,3,4,11,114,11.85515123,2019
2, , , ,2,3,4,3,1,13,131,1301.518152,2019
2, , , , ,3,3,3,1,5,51,2000.932097,2019
1,1,0,1,2,2,3,3,3,10,103,46.46815968,2019
2, , , ,2,3,3,3,1,11,111,279.0662548,2019
2, , , ,2,3,3,1,1,5,51,2000.932097,2019
1,0,1,0,2,3,4,2,2,13,132,399.395559,2019
2, , , ,2,3,3,3,1,13,131,1301.518152,2019
2, , , ,2,3,4,5,4,11,114,11.85515123,2019
2, , , ,2,2,4,3,3,9,93,51.94971263,2019
2, , , ,2,3,1,2,1,5,51,2000.932097,2019
2, , , ,2,3,2,2,1,11,111,279.0662548,2019
1,0,1,0,2,3,4,4,4,11,114,11.85515123,2019
1,0,0,1,2,3,5,4,1,13,131,1301.518152,2019
1,0,1,0,2,3,3,3,4,11,114,15.7411964,2019
2, , , ,2,3,4,4,2,11,112,50.01282742,2019
2, , , ,2,3,1,1,2,6,62,528.950255,2019
2, , , ,2,3,3,3,2,11,112,53.71921831,2019
1,0,0,1,2,3,4,3,1,13,131,1301.518152,2019
1,1,0,0,2,3,5,5,4,4,44,12.91542128,2019
2, , , ,2,3,4,3,4,11,114,11.85515123,2019
2, , , ,2,3,4,4,2,11,112,53.71921831,2019
2, , , ,2,2,4,4,4,4,44,12.70776659,2019
1,0,0,1,2,3,4,4,1,11,111,230.8778911,2019
2, , , ,2,3,2,1,3,6,63,86.82558801,2019
2, , , ,2,2,3,4,4,5,54,14.42693906,2019
2, , , ,2,3,1,3,4,9,94,3.947798685,2019
2, , , ,2,3,3,3,2,11,112,48.39413951,2019
2, , , , ,3,2,2,2,5,52,61.73692792,2019
2, , , ,2,3,1,1,1,12,121,2195.937664,2019
1,0,1,0,2,2,4,4,1,2,21,196.7744615,2019
2, , , ,3,2,3,3,3,13,133,259.8144082,2019
2, , , ,2,3,4,4,2,2,22,97.20167364,2019
1,0,1,0,2,2,5,4,5,13,135,5.603565746,2019
2, , , ,2,2,3,4,3,10,103,82.00870902,2019
2, , , ,2,3,4,4,2,2,22,107.8973193,2019
1,1,0,1,2,2,4,3,5,10,105,4.702961929,2019
2, , , ,2,3,3,3,1,13,131,1301.518152,2019
2, , , ,2,3,4,4,4,9,94,3.557952755,2019
1,0,1,1,2,2,4,4,4,9,94,3.786471566,2019
1,0,0,1,2,3,4,4,1,13,131,1301.518152,2019
2, , , ,2,3,2,2,1,2,21,202.612735,2019
2, , , ,2,2,1,4,3,7,73,47.79998351,2019
1,0,0,1,2,3,2,2,2,2,22,107.8973193,2019
2, , , ,2,2,1,1,5,11,115,4.829986465,2019
2, , , ,2,3,3,2,1,9,91,895.8272651,2019
1,0,0,1,2,3,4,3,2,13,132,381.673761,2019
2, , , ,2,3,5,4,2,10,102,66.60282225,2019
1,1,0,1,3,2,4,4,4,12,124,3.475550606,2019
2, , , ,2,2,4,3,1,8,81,54.01620657,2019
1,0,0,1,2,3,4,4,2,13,132,381.673761,2019
2, , , ,2,3,4,4,2,2,22,107.8973193,2019
1,0,0,1,2,2,5,4,4,4,44,12.91542128,2019
2, , , ,2,3,3,2,1,9,91,895.8272651,2019
1,0,1,0,4,3,4,2,4,10,104,13.06847792,2019
2, , , ,2,3,2,2,2,2,22,108.4094954,2019
2, , , ,2,3,4,4,2,2,22,107.8973193,2019
2, , , ,2,2,5,3,2,10,102,130.4223304,2019
2, , , ,2,3,3,3,1,4,41,3311.67082,2019
2, , , ,2,3,4,3,2,11,112,50.01282742,2019
2, , , , ,3,3,2,2,9,92,107.4259288,2019
1,0,1,1,2,3,3,3,3,10,103,46.46815968,2019
2, , , ,2,3,4,4,2,2,22,97.20167364,2019
1,1,0,1,2,2,5,5,3,3,33,159.7322528,2019
2, , , ,2,3,1,1,2,2,22,108.4094954,2019
2, , , ,2,3,5,4,2,2,22,107.8973193,2019
2, , , ,2,3,4,4,1,10,101,340.8963494,2019
2, , , ,2,3,4,3,3,8,83,122.3140331,2019
2, , , ,2,3,4,3,3,11,113,44.22214924,2019
2, , , ,2,3,3,3,1,4,41,3676.072548,2019
2, , , , ,3,1,1,1,2,21,196.9857324,2019
2, , , ,2,3,4,4,3,9,93,54.16309185,2019
2, , , ,2,1,4,4,4,10,104,8.219727471,2019
2, , , ,2,2,3,3,2,9,92,112.0029381,2019
1,0,1,0,2,3,5,5,4,11,114,13.15412364,2019
2, , , ,2,3,5,3,5,11,115,5.64913893,2019
2, , , ,2,3,4,4,2,2,22,107.8973193,2019
2, , , , ,3,1,1,1,11,111,208.9787381,2019
2, , , ,2,3,5,3,5,11,115,5.64913893,2019
2, , , ,2,2,3,3,3,10,103,73.87934953,2019
2, , , ,2,3,4,4,2,5,52,65.59217682,2019
2, , , ,2,2,3,3,3,9,93,57.45886174,2019
2, , , ,2,3,3,3,5,11,115,5.64913893,2019
2, , , ,2,3,4,4,5,9,95,1.872198432,2019
2, , , ,2,3,4,3,2,2,22,97.20167364,2019
2, , , ,2,2,4,2,5,11,115,4.829986465,2019
2, , , ,2,3,4,4,3,6,63,75.96004773,2019
2, , , ,2,2,4,4,2,9,92,101.2641092,2019
2, , , ,2,2,3,3,3,9,93,59.9069648,2019
1,0,1,0,2,3,4,4,3,8,83,118.9171026,2019
2, , , ,2,3,4,4,2,2,22,97.20167364,2019
2, , , ,2,3,4,1,1,5,51,2000.932097,2019
1,1,0,1,3,2,4,5,5,13,135,1.202008987,2019
2, , , ,2,3,4,4,2,9,92,93.98241771,2019
2, , , ,2,2,3,1,1,5,51,2000.932097,2019
2, , , ,2,3,5,4,2,2,22,107.8973193,2019
1,0,0,1,2,2,3,3,3,10,103,82.00870902,2019
1,0,0,1,2,3,4,4,5,11,115,5.64913893,2019
2, , , ,2,3,3,2,1,5,51,2000.932097,2019
2, , , ,2,3,5,4,2,2,22,107.8973193,2019
1,0,1,0,2,2,4,2,5,11,115,4.829986465,2019
2, , , ,2,3,3,2,1,5,51,2000.932097,2019
2, , , ,2,3,4,4,2,2,22,107.8973193,2019
1,0,1,0,2,3,4,3,3,7,73,46.25291531,2019
2, , , ,2,2,2,2,3,11,113,49.08816053,2019
2, , , ,2,3,3,3,3,4,43,143.4142491,2019
2, , , ,2,3,3,3,2,2,22,97.20167364,2019
2, , , ,2,3,3,2,2,10,102,73.90051307,2019
2, , , ,2,3,4,4,4,4,44,15.10584133,2019
2, , , ,2,2,4,3,2,7,72,36.81422118,2019
2, , , ,2,3,4,4,2,2,22,97.20167364,2019
1,0,1,0,2,2,3,3,3,3,33,159.7322528,2019
2, , , , ,3,4,3,1,12,121,2416.157591,2019
1,0,0,1,2,3,4,3,3,13,133,279.0689436,2019
2, , , ,2,2,3,3,4,4,44,15.07740126,2019
2, , , ,2,3,3,3,2,2,22,107.8973193,2019
1,0,0,1,2,3,5,4,4,13,134,49.72475257,2019
2, , , ,2,2,3,3,3,8,83,135.2851587,2019
2, , , ,2,3,4,3,4,13,134,76.498265,2019
2, , , ,2,3,4,4,5,11,115,1.314865957,2019
2, , , ,2,3,4,3,5,11,115,4.829986465,2019
2, , , ,2,2,5,3,3,4,43,143.4142491,2019
2, , , ,2,3,4,4,2,9,92,91.26425765,2019
2, , , ,2,3,4,4,1,4,41,3799.029877,2019
2, , , ,2,3,1,1,2,8,82,48.82521133,2019
2, , , ,2,3,5,4,4,9,94,3.412556722,2019
2, , , ,2,2,4,3,2,10,102,130.4223304,2019
2, , , ,2,3,3,3,5,11,115,1.314865957,2019
2, , , ,2,3,4,2,3,9,93,48.81447543,2019
1,1,0,0,2,2,5,5,3,5,53,30.95571799,2019
2, , , ,2,3,4,1,1,10,101,340.8963494,2019
1,1,0,1,2,2,4,4,5,13,135,1.203823602,2019
1,0,1,0,2,3,4,4,4,9,94,2.146408051,2019
2, , , ,2,2,3,3,3,5,53,30.95571799,2019
2, , , ,2,3,1,4,4,9,94,3.412556722,2019
2, , , ,2,3,4,3,2,10,102,66.60282225,2019
1,0,1,0,2,3,5,5,1,8,81,57.38932422,2019
1,1,0,1,2,2,4,4,5,6,65,1.268220219,2019
2, , , ,2,2,4,2,4,4,44,13.58280859,2019
2, , , ,2,3,2,2,2,9,92,91.26425765,2019
2, , , ,2,3,4,4,4,9,94,3.557952755,2019
2, , , ,2,3,2,2,1,13,131,1345.051351,2019
2, , , ,2,3,1,1,1,8,81,91.41873002,2019
2, , , ,2,3,4,3,2,9,92,91.26425765,2019
2, , , ,2,3,3,4,1,2,21,202.612735,2019
2, , , ,2,3,4,3,3,10,103,73.91033219,2019
1,0,1,0,2,2,5,5,1,8,81,52.51605734,2019
2, , , ,2,2,4,4,1,10,101,378.2484627,2019
2, , , ,2,2,3,3,4,4,44,8.543227878,2019
2, , , ,2,3,4,4,4,10,104,8.219727471,2019
2, , , ,2,3,3,3,2,10,102,130.4223304,2019
1,0,1,0,2,3,4,4,4,2,24,24.72816413,2019
2, , , ,2,3,3,3,1,2,21,202.612735,2019
2, , , ,2,3,4,4,4,9,94,3.412556722,2019
2, , , ,2,2,5,5,4,10,104,8.219727471,2019
2, , , ,2,3,4,3,1,7,71,198.2838182,2019
2, , , ,2,3,1,1,2,2,22,108.4094954,2019
2, , , ,2,3,1,1,1,6,61,2180.352917,2019
2, , , ,2,3,4,4,1,10,101,193.1602898,2019
2, , , ,2,3,1,1,3,2,23,82.79307908,2019
2, , , ,2,3,1,1,1,4,41,3799.029877,2019
2, , , ,2,3,1,1,2,2,22,108.4094954,2019
1,0,1,1,2,2,5,4,3,8,83,122.3140331,2019
2, , , ,2,3,4,5,4,10,104,13.06847792,2019
2, , , ,2,2,4,3,4,11,114,13.15412364,2019
2, , , ,2,2,3,3,4,9,94,3.786471566,2019
2, , , ,2,3,4,3,5,11,115,4.829986465,2019
2, , , ,2,2,2,4,5,5,55,2.10985814,2019
2, , , ,2,2,4,4,4,11,114,13.15412364,2019
2, , , ,2,3,1,1,3,2,23,74.58596656,2019
2, , , ,2,2,3,3,2,4,42,512.2782327,2019
2, , , ,2,2,3,4,3,6,63,87.13863982,2019
2, , , ,2,2,4,4,4,4,44,14.33657758,2019
1,1,0,1,2,2,4,4,5,4,45,5.700002703,2019
1,1,0,0,2,2,3,2,5,13,135,5.190036679,2019
2, , , ,2,2,3,3,4,4,44,13.58280859,2019
2, , , ,2,3,5,4,3,7,73,47.79998351,2019
2, , , ,2,3,1,1,3,2,23,82.79307908,2019
1,1,0,0,2,2,4,3,5,8,85,2.324866498,2019
2, , , ,2,2,3,3,4,4,44,8.543227878,2019
2, , , ,2,3,1,1,3,2,23,77.76379027,2019
1,1,0,0,2,2,4,4,4,4,44,12.55673154,2019
1,0,1,0,2,3,1,1,4,2,24,24.72816413,2019
1,1,0,0,2,2,5,3,4,4,44,12.55673154,2019
1,1,0,0,2,2,4,4,5,5,55,1.290190079,2019
2, , , ,2,2,4,4,4,4,44,13.58280859,2019
2, , , , ,3,1,1,4,9,94,4.030678996,2019
1,0,1,0,2,2,5,3,5,5,55,2.051262725,2019
2, , , ,2,3,1,1,1,9,91,787.4417549,2019
2, , , ,2,3,4,4,3,5,53,52.28962183,2019
2, , , ,2,2,4,4,3,4,43,169.1360738,2019
1,0,1,0,2,2,3,2,3,4,43,169.1360738,2019
1,0,1,0,2,3,3,3,3,5,53,52.28962183,2019
1,0,1,0,2,2,4,4,3,4,43,139.431319,2019
1,0,1,0,2,3,5,5,3,5,53,52.28962183,2019
2, , , ,2,3,3,4,3,4,43,169.1360738,2019
2, , , ,2,2,3,3,3,4,43,152.6637112,2019
1,0,1,0,2,3,3,3,2,5,52,65.59217682,2019
1,0,1,0,2,3,3,3,4,1,14,2.123826987,2019
1,0,1,0,2,3,3,3,4,1,14,2.123826987,2019
1,0,1,0,2,3,4,4,4,1,14,2.123826987,2019
1,1,0,0,2,3,4,4,4,1,14,2.123826987,2019
2, , , ,2,3,3,3,3,2,23,74.58596656,2019
2, , , ,2,3,3,3,2,2,22,108.4094954,2019
2, , , ,2,3,1,1,1,2,21,177.4589302,2019
2, , , ,2,3,4,3,4,4,44,14.33657758,2019
2, , , ,2,3,5,4,2,12,122,122.5666796,2019
2, , , ,2,3,5,5,3,8,83,122.3140331,2019
2, , , ,2,3,3,2,3,8,83,122.3140331,2019
2, , , ,2,3,3,3,2,9,92,101.2641092,2019
2, , , ,2,2,3,3,2,2,22,111.5062705,2019
2, , , ,2,2,5,5,4,10,104,16.09595473,2019
2, , , ,2,3,4,3,2,2,22,111.5062705,2019
2, , , ,2,3,3,3,2,13,132,355.3399424,2019
1,1,0,1,2,1,5,4,4,8,84,12.25910528,2019
1,1,0,0,2,2,4,4,3,8,83,122.3140331,2019
2, , , ,2,3,3,3,2,4,42,461.4971149,2019
1,1,0,0,2,2,3,4,3,7,73,47.79998351,2019
2, , , ,2,2,4,4,2,10,102,130.4223304,2019
2, , , ,2,3,1,1,1,2,21,202.612735,2019
2, , , ,2,2,3,4,1,10,101,378.2484627,2019
2, , , ,2,3,3,2,2,4,42,512.2782327,2019
2, , , ,2,3,5,4,5,11,115,1.314865957,2019
2, , , ,2,3,3,3,1,11,111,214.9483273,2019
2, , , ,2,3,3,2,1,2,21,202.612735,2019
2, , , ,2,2,1,1,3,10,103,73.87934953,2019
1,1,0,1,3,2,3,4,5,2,25,3.952926558,2019
2, , , ,2,3,5,4,3,10,103,73.87934953,2019
1,0,1,1,2,2,3,3,4,10,104,14.50039489,2019
1,0,1,1,2,2,5,5,4,10,104,9.120365427,2019
2, , , ,2,3,5,4,3,12,123,49.55651552,2019
2, , , ,2,3,3,2,4,11,114,13.15412364,2019
2, , , ,2,2,3,4,1,13,131,1345.051351,2019
2, , , ,2,3,5,5,3,8,83,122.3140331,2019
2, , , ,2,3,3,1,4,11,114,13.15412364,2019
1,1,0,1,3,2,4,3,5,13,135,5.197871826,2019
1,1,0,0,2,3,5,5,5,3,35,1.253854334,2019
2, , , ,4,2,3,2,3,7,73,47.79998351,2019
2, , , ,2,3,2,4,4,13,134,49.72475257,2019
2, , , ,2,2,4,3,1,4,41,3422.439635,2019
2, , , ,2,2,4,4,3,10,103,51.39600253,2019
1,0,0,1,2,3,3,3,5,13,135,5.022058782,2019
1,0,1,0,2,2,3,3,4,7,74,13.71127054,2019
1,0,1,0,2,2,3,4,3,7,73,47.79998351,2019
2, , , ,2,3,5,4,3,9,93,46.81966786,2019
1,0,1,0,2,2,4,3,4,9,94,3.786471566,2019
2, , , ,2,3,2,2,3,5,53,30.95571799,2019
2, , , ,2,3,4,4,2,2,22,107.8973193,2019
2, , , ,3,3,4,4,1,13,131,1212.227254,2019
2, , , ,2,3,4,4,2,2,22,97.20167364,2019
2, , , ,2,2,4,4,3,9,93,51.94971263,2019
2, , , ,2,2,4,4,2,12,122,110.4631948,2019
2, , , ,2,3,3,3,2,2,22,111.5062705,2019
2, , , , ,3,1,1,3,5,53,54.63178415,2019
1,1,0,0,2,2,4,3,4,10,104,14.03108302,2019
2, , , ,2,3,4,4,1,2,21,176.6205331,2019
2, , , ,2,2,4,3,3,9,93,57.66603109,2019
2, , , ,2,3,3,2,4,9,94,3.412556722,2019
1,0,1,0,2,2,4,4,5,4,45,5.700002703,2019
2, , , ,2,3,3,3,1,2,21,176.6205331,2019
2, , , ,2,2,4,4,1,2,21,182.5281394,2019
1,0,1,0,2,3,4,4,4,10,104,8.825180653,2019
2, , , ,2,3,4,3,2,12,122,110.4631948,2019
1,0,1,0,2,3,5,5,3,9,93,51.94971263,2019
2, , , ,2,3,4,2,1,10,101,340.8963494,2019
2, , , ,2,2,3,3,3,5,53,49.21624453,2019
1,0,0,1,2,2,5,5,2,13,132,381.673761,2019
2, , , ,2,3,2,2,1,2,21,196.0550817,2019
2, , , ,2,3,4,4,2,10,102,117.5430985,2019
2, , , ,2,2,4,4,3,6,63,78.50076054,2019
2, , , ,2,2,2,2,1,10,101,340.7534482,2019
2, , , ,2,3,3,3,3,12,123,78.82254321,2019
2, , , ,2,3,4,3,2,2,22,97.20167364,2019
2, , , ,2,3,4,4,2,10,102,105.891286,2019
2, , , ,2,2,4,3,3,6,63,87.13863982,2019
2, , , ,2,2,4,4,1,3,31,422.663385,2019
2, , , ,2,3,3,4,1,11,111,279.0662548,2019
2, , , ,2,3,4,4,1,11,111,193.7221359,2019
2, , , ,2,2,1,1,4,3,34,17.50714507,2019
2, , , , ,3,3,3,1,13,131,1212.227254,2019
1,1,0,0,2,1,3,2,5,13,135,1.202008987,2019
1,0,0,1,2,3,3,3,2,2,22,107.8973193,2019
2, , , ,2,2,4,5,2,11,112,50.01282742,2019
2, , , ,2,3,1,1,1,11,111,215.0384698,2019
2, , , ,2,3,3,1,2,10,102,117.5430985,2019
1,1,0,1,2,2,4,4,4,12,124,3.475550606,2019
2, , , ,2,3,3,3,5,11,115,4.673661756,2019
2, , , ,2,3,5,5,2,2,22,97.20167364,2019
2, , , ,2,2,2,5,3,6,63,78.50076054,2019
2, , , ,2,3,5,5,2,2,22,97.20167364,2019
1,0,1,0,2,3,2,2,2,1,12,6.658375336,2019
2, , , ,2,3,1,1,3,10,103,66.58374861,2019
2, , , ,2,2,2,2,5,5,55,2.10985814,2019
2, , , ,2,2,4,4,1,8,81,85.87992796,2019
2, , , ,2,3,4,3,1,4,41,3676.072548,2019
2, , , ,2,3,5,5,2,2,22,117.4894092,2019
2, , , ,2,3,5,4,3,9,93,48.81447543,2019
2, , , ,2,2,4,4,2,3,32,171.097941,2019
