Q33,Q33A1,Q33A2,Q33A3,Q32,Q50,Q58A1,Q58A2,D_SIZE,D_IND,D_INDSIZE,WT,year
2, , , ,2,3,3,1,4,1,14,2.216565668,2019
1,1,0,0,2,2,3,3,2,7,72,33.77312505,2019
2, , , ,2,3,3,2,1,2,21,205.587279,2019
2, , , ,2,2,3,5,2,8,82,81.01644621,2019
1,1,0,0,2,2,4,3,5,8,85,2.426383737,2019
2, , , ,2,2,4,4,3,13,133,166.0658299,2019
2, , , ,2,2,3,3,4,1,14,1.394161265,2019
2, , , , ,3,3,2,1,2,21,205.587279,2019
2, , , , ,3,2,2,1,2,21,205.587279,2019
2, , , ,2,3,5,3,3,13,133,292.6372745,2019
1,0,1,0,2,2,4,4,3,10,103,47.15035562,2019
2, , , ,2,3,3,3,1,11,111,242.1031732,2019
2, , , ,2,2,4,3,4,3,34,17.76416629,2019
1,0,1,0,2,2,3,4,3,13,133,166.0658299,2019
2, , , ,2,2,5,5,2,5,52,35.49523143,2019
2, , , ,2,2,1,2,2,13,132,227.1229792,2019
2, , , ,2,3,3,3,1,10,101,383.801503,2019
2, , , ,2,2,2,2,2,1,12,6.266988053,2019
2, , , , ,3,3,3,1,6,61,2212.362532,2019
1,0,0,1,2,3,5,4,3,8,83,124.1097172,2019
2, , , ,2,2,5,4,4,10,104,9.254260902,2019
2, , , ,2,3,5,3,1,7,71,201.1948097,2019
1,0,0,1,2,2,4,4,3,3,33,179.9115432,2019
1,1,0,0,2,2,3,1,4,6,64,4.308182196,2019
2, , , , ,3,3,3,1,2,21,205.587279,2019
2, , , ,2,1,5,2,4,2,24,26.19238383,2019
2, , , ,2,2,3,3,3,4,43,147.6874145,2019
2, , , ,2,3,3,3,4,11,114,13.54606339,2019
2, , , ,2,3,3,3,1,2,21,187.9667407,2019
1,0,0,1,3,2,3,3,2,4,42,468.2723232,2019
2, , , , ,3,3,1,1,2,21,205.587279,2019
2, , , , ,3,1,1,2,6,62,485.2554946,2019
2, , , ,2,3,3,3,2,8,82,51.71628064,2019
1,0,0,1,2,3,5,5,4,13,134,50.53092744,2019
2, , , ,2,3,3,3,2,13,132,406.1927093,2019
2, , , ,2,2,5,3,2,4,42,527.5420551,2019
1,0,1,0,2,3,3,3,5,11,115,4.973900554,2019
2, , , ,2,2,5,3,2,1,12,10.09701502,2019
1,1,0,0,2,2,3,2,2,8,82,50.957205,2019
2, , , ,2,2,2,2,1,6,61,2212.362532,2019
2, , , ,2,2,3,2,1,2,21,208.6497762,2019
2, , , ,2,2,4,3,3,4,43,147.6874145,2019
2, , , ,2,2,3,3,3,13,133,165.8155062,2019
2, , , ,2,2,2,2,3,3,33,162.0772713,2019
2, , , ,2,2,5,5,2,10,102,134.3083891,2019
2, , , ,2,2,3,3,2,12,122,119.283843,2019
2, , , ,2,2,3,2,1,6,61,2212.362532,2019
2, , , ,2,2,3,3,1,12,121,2488.149329,2019
2, , , ,2,3,5,5,3,13,133,263.6287261,2019
2, , , ,2,2,2,4,2,3,32,176.1959686,2019
2, , , ,2,2,4,4,3,13,133,296.9964977,2019
2, , , ,2,2,4,4,1,2,21,205.587279,2019
2, , , ,2,2,3,3,2,8,82,50.957205,2019
1,1,0,0,2,2,5,4,5,2,25,4.010959208,2019
2, , , ,2,2,3,3,4,11,114,13.54606339,2019
2, , , ,2,3,4,3,2,11,112,51.50300768,2019
2, , , ,2,2,3,2,2,3,32,176.1959686,2019
2, , , ,2,3,4,4,1,12,121,2302.704145,2019
2, , , ,2,3,3,3,2,3,32,173.6098184,2019
1,1,0,0,3,3,4,4,5,1,15,1.292653468,2019
1,0,0,1,2,2,3,2,2,1,12,10.09701502,2019
1,0,0,1,2,2,3,3,4,4,44,8.242718844,2019
2, , , ,2,3,4,3,4,6,64,4.558647846,2019
2, , , ,2,2,5,3,1,6,61,2245.318628,2019
1,0,0,1,2,2,5,5,2,8,82,51.71628064,2019
1,0,1,0,2,2,3,3,1,8,81,55.62567136,2019
1,0,0,1,2,2,5,4,1,1,11,21.27791802,2019
2, , , ,2,3,5,5,3,1,13,8.916628435,2019
1,0,0,1,2,2,5,5,5,13,135,5.274181435,2019
1,0,0,1,2,2,5,5,5,13,135,5.274181435,2019
1,1,0,0,2,2,5,5,4,6,64,4.308182196,2019
2, , , ,2,3,2,2,1,3,31,476.0592836,2019
2, , , ,2,2,4,3,3,1,13,8.785752908,2019
2, , , ,2,2,3,3,3,4,43,145.5197041,2019
2, , , ,2,3,3,3,2,12,122,132.4093137,2019
2, , , , ,3,2,2,1,13,131,1385.128449,2019
2, , , ,2,3,5,5,1,1,11,12.83634092,2019
1,0,1,0,2,3,5,2,3,5,53,49.93878493,2019
2, , , ,2,3,5,5,1,2,21,208.6497762,2019
1,0,0,1,2,2,3,4,4,13,134,50.53092744,2019
2, , , ,2,2,4,5,3,5,53,49.93878493,2019
2, , , ,2,3,5,1,3,1,13,9.752498612,2019
1,0,0,1,2,2,5,4,3,1,13,5.526006545,2019
1,0,0,1,2,2,5,4,4,10,104,14.9324481,2019
2, , , ,2,3,3,3,2,2,22,103.4459667,2019
2, , , ,2,2,1,1,3,2,23,79.00239801,2019
1,1,0,0,2,2,5,5,4,9,94,2.452552394,2019
2, , , ,2,3,5,4,2,2,22,113.1432866,2019
2, , , ,2,2,2,2,1,11,111,242.1031732,2019
2, , , ,2,2,3,4,3,11,113,49.80882053,2019
1,0,0,1,2,2,5,5,4,8,84,7.940399783,2019
1,0,1,0,2,2,5,5,1,11,111,230.7839234,2019
1,1,0,0,4,3,1,1,5,6,65,1.30600806,2019
1,0,1,0,2,2,4,4,5,13,135,5.274181435,2019
2, , , ,2,2,2,3,1,8,81,98.17022083,2019
2, , , , ,2,2,2,2,6,62,492.4840234,2019
2, , , ,2,2,3,4,1,4,41,3912.225624,2019
2, , , ,2,3,1,1,2,1,12,6.350755784,2019
2, , , ,2,2,5,5,2,1,12,6.350755784,2019
2, , , ,2,3,4,4,3,6,63,89.73501935,2019
1,0,1,0,2,2,5,3,4,6,64,4.372358325,2019
1,0,0,1,2,3,3,3,2,6,62,492.4840234,2019
