Q44,Q44A1,Q44A2,Q44A3,Q43,REQ43,Q36,Q45A1,Q45A3,Q45A5,D_SIZE,D_IND,D_INDSIZE,RIM_WT,year
2, , , ,1,1,2,2,3,1,2,5,52,6.62783950075891,2021
1,1,0,1,1,1,1,5,5,5,3,2,23,1.80979125904423,2021
1,0,1,1,1,1,2,2,3,1,3,6,63,1.48673757081751,2021
2, , , ,3,2,3,3,2,2,1,2,21,65.3809324770437,2021
2, , , ,5,3,2,3,3,3,3,2,23,1.80979125904423,2021
1,1,0,1,1,1,2,5,4,4,3,2,23,1.80979125904423,2021
2, , , ,1,1,2,4,4,2,2,4,42,6.21947025691283,2021
1,1,1,0,1,1,1,4,4,4,3,7,73,1.18412771100399,2021
1,0,0,1,1,1,2,3,3,2,2,4,42,5.41103307768272,2021
1,0,0,1,1,1,2,3,3,3,2,7,72,7.07053288750011,2021
1,0,1,1,1,1,2,3,3,1,3,6,63,1.48673757081751,2021
1,0,1,0,1,1,2,3,3,3,2,2,22,8.16454379525888,2021
2, , , ,1,1,2,3,3,3,2,2,22,8.16454379525888,2021
1,0,0,1,1,1,2,5,5,1,2,6,62,5.41888984195642,2021
2, , , ,7,3,2,3,1,1,2,2,22,8.16454379525888,2021
2, , , ,30,4,2,4,4,4,2,2,22,8.67972915675632,2021
2, , , ,5,3,2,4,2,4,1,2,21,61.5002469481631,2021
1,0,0,1,1,1,2,5,5,1,2,6,62,5.41888984195642,2021
2, , , ,1,1,2,5,3,3,1,2,21,65.3809324770437,2021
2, , , ,5,3,3,3,2,1,1,2,21,65.3809324770437,2021
1,1,0,0,1,1,1,3,3,3,3,2,23,1.42866105761858,2021
2, , , ,1,1,2,4,4,2,1,4,41,31.379865155643,2021
1,0,1,1,1,1,2,4,4,4,2,3,32,2.7948350404186,2021
2, , , ,1,1,2,4,3,4,2,5,52,6.23444405863412,2021
2, , , ,10,4,1,3,3,4,2,5,52,6.23444405863412,2021
2, , , ,1,1,2,4,4,2,1,4,41,31.379865155643,2021
1,0,0,1,1,1,2,4,3,3,2,2,22,7.06196741746573,2021
2, , , ,1,1,2,4,4,3,1,4,41,31.379865155643,2021
2, , , ,1,1,2,5,3,2,2,2,22,7.06196741746573,2021
1,1,0,0,5,3,1,5,5,5,3,2,23,1.80979125904423,2021
1,0,0,1,10,4,1,3,2,2,3,2,23,1.80979125904423,2021
1,0,1,0,1,1,3,5,3,3,2,2,22,8.67972915675632,2021
2, , , ,10,4,2,3,3,3,1,2,21,61.5002469481631,2021
2, , , ,1,1,3,3,3,3,2,2,22,8.67972915675632,2021
1,0,0,1,1,1,2,4,4,1,2,6,62,5.41888984195642,2021
2, , , ,1,1,2,2,2,2,1,2,21,53.1949795365455,2021
1,0,1,0,2,2,2,3,3,3,2,2,22,8.67972915675632,2021
2, , , ,5,3,2,4,4,3,1,5,51,35.7997744653139,2021
2, , , ,1,1,2,3,3,2,2,2,22,7.06196741746573,2021
2, , , ,1,1,2,4,4,3,1,1,11,7.52046688498971,2021
1,0,1,0,1,1,2,4,4,3,3,2,23,1.80979125904423,2021
1,0,1,0,1,1,2,4,4,4,2,2,22,7.06196741746573,2021
2, , , ,1,1,2,3,3,2,1,1,11,7.52046688498971,2021
2, , , ,10,4,2,3,3,3,2,5,52,6.62783950075891,2021
2, , , ,1,1,2,4,4,2,1,1,11,7.52046688498971,2021
1,0,0,1,1,1,2,3,3,3,2,6,62,5.41888984195642,2021
2, , , ,1,1,2,3,3,3,2,2,22,8.11706298550759,2021
1,1,0,0,1,1,2,4,4,1,2,6,62,5.41888984195642,2021
2, , , ,1,1,3,4,4,3,1,6,61,26.1352847221017,2021
1,0,0,1,1,1,2,5,5,1,2,6,62,5.41888984195642,2021
2, , , ,1,1,3,4,4,4,2,2,22,8.67972915675632,2021
2, , , ,1,1,2,3,3,2,1,12,121,23.0093599274697,2021
2, , , ,1,1,3,2,3,1,1,6,61,26.8255747250263,2021
2, , , ,1,1,2,4,3,1,1,6,61,26.8255747250263,2021
