ai_use_sum,it_org_any,it_org_label,predicted,ci_lower,ci_upper,ai_range_rule,control_firm_size,control_industry,control_region,control_firm_type,control_it_invest_sum
2.46,1,it_org_any = 1,4.101172265975851,4.049393183609656,4.152951348342047,p5_to_p95,1,2,1,2,3.201425878882242
2.4899999999999998,1,it_org_any = 1,4.102221526862577,4.050244274268064,4.154198779457089,p5_to_p95,1,2,1,2,3.201425878882242
2.52,1,it_org_any = 1,4.103270787749302,4.051092973075124,4.155448602423481,p5_to_p95,1,2,1,2,3.201425878882242
2.55,1,it_org_any = 1,4.104320048636028,4.051939307505507,4.156700789766549,p5_to_p95,1,2,1,2,3.201425878882242
2.58,1,it_org_any = 1,4.105369309522752,4.0527833049311965,4.157955314114307,p5_to_p95,1,2,1,2,3.201425878882242
2.61,1,it_org_any = 1,4.1064185704094776,4.053624992611281,4.159212148207674,p5_to_p95,1,2,1,2,3.201425878882242
2.6399999999999997,1,it_org_any = 1,4.107467831296203,4.054464397682182,4.160471264910225,p5_to_p95,1,2,1,2,3.201425878882242
2.67,1,it_org_any = 1,4.108517092182929,4.05530154714834,4.161732637217518,p5_to_p95,1,2,1,2,3.201425878882242
2.6999999999999997,1,it_org_any = 1,4.1095663530696545,4.056136467873339,4.16299623826597,p5_to_p95,1,2,1,2,3.201425878882242
2.73,1,it_org_any = 1,4.110615613956378,4.056969186571461,4.164262041341296,p5_to_p95,1,2,1,2,3.201425878882242
2.76,1,it_org_any = 1,4.111664874843104,4.057799729799676,4.165530019886532,p5_to_p95,1,2,1,2,3.201425878882242
2.79,1,it_org_any = 1,4.11271413572983,4.05862812395003,4.166800147509629,p5_to_p95,1,2,1,2,3.201425878882242
2.82,1,it_org_any = 1,4.113763396616555,4.05945439524247,4.16807239799064,p5_to_p95,1,2,1,2,3.201425878882242
2.85,1,it_org_any = 1,4.114812657503281,4.060278569718055,4.1693467452885065,p5_to_p95,1,2,1,2,3.201425878882242
2.88,1,it_org_any = 1,4.115861918390006,4.061100673232562,4.170623163547449,p5_to_p95,1,2,1,2,3.201425878882242
2.9099999999999997,1,it_org_any = 1,4.11691117927673,4.061920731450481,4.171901627102979,p5_to_p95,1,2,1,2,3.201425878882242
2.94,1,it_org_any = 1,4.117960440163456,4.062738769839391,4.173182110487521,p5_to_p95,1,2,1,2,3.201425878882242
2.9699999999999998,1,it_org_any = 1,4.119009701050182,4.0635548136646795,4.174464588435684,p5_to_p95,1,2,1,2,3.201425878882242
3.0,1,it_org_any = 1,4.120058961936907,4.064368887984646,4.175749035889169,p5_to_p95,1,2,1,2,3.201425878882242
