ai_use_sum,it_org_any,it_org_label,predicted,ci_lower,ci_upper,ai_range_rule,control_firm_size,control_industry,control_region,control_firm_type,control_it_invest_sum
1.2,1,it_org_any = 1,4.05710330873339,4.011127178247079,4.1030794392197,p5_to_p95,1,2,1,2,3.201425878882242
1.23,1,it_org_any = 1,4.058152569620114,4.012102769424728,4.104202369815501,p5_to_p95,1,2,1,2,3.201425878882242
1.26,1,it_org_any = 1,4.05920183050684,4.013074921203414,4.1053287398102665,p5_to_p95,1,2,1,2,3.201425878882242
1.29,1,it_org_any = 1,4.060251091393566,4.014043650801723,4.1064585319854086,p5_to_p95,1,2,1,2,3.201425878882242
1.3199999999999998,1,it_org_any = 1,4.06130035228029,4.01500897607995,4.107591728480631,p5_to_p95,1,2,1,2,3.201425878882242
1.3499999999999999,1,it_org_any = 1,4.062349613167016,4.015970915521384,4.108728310812648,p5_to_p95,1,2,1,2,3.201425878882242
1.38,1,it_org_any = 1,4.063398874053741,4.016929488213179,4.109868259894302,p5_to_p95,1,2,1,2,3.201425878882242
1.41,1,it_org_any = 1,4.064448134940466,4.017884713826852,4.1110115560540805,p5_to_p95,1,2,1,2,3.201425878882242
1.44,1,it_org_any = 1,4.065497395827192,4.018836612598455,4.112158179055929,p5_to_p95,1,2,1,2,3.201425878882242
1.47,1,it_org_any = 1,4.066546656713918,4.019785205308457,4.113308108119378,p5_to_p95,1,2,1,2,3.201425878882242
1.5,1,it_org_any = 1,4.067595917600642,4.020730513261386,4.114461321939899,p5_to_p95,1,2,1,2,3.201425878882242
1.53,1,it_org_any = 1,4.068645178487367,4.021672558265269,4.115617798709465,p5_to_p95,1,2,1,2,3.201425878882242
1.56,1,it_org_any = 1,4.069694439374093,4.022611362610913,4.116777516137272,p5_to_p95,1,2,1,2,3.201425878882242
1.5899999999999999,1,it_org_any = 1,4.070743700260818,4.023546949051056,4.117940451470581,p5_to_p95,1,2,1,2,3.201425878882242
1.6199999999999999,1,it_org_any = 1,4.071792961147544,4.024479340779456,4.1191065815156325,p5_to_p95,1,2,1,2,3.201425878882242
1.65,1,it_org_any = 1,4.072842222034269,4.0254085614099235,4.120275882658614,p5_to_p95,1,2,1,2,3.201425878882242
1.68,1,it_org_any = 1,4.073891482920994,4.0263346349553615,4.121448330886626,p5_to_p95,1,2,1,2,3.201425878882242
1.71,1,it_org_any = 1,4.074940743807719,4.027257585806831,4.122623901808607,p5_to_p95,1,2,1,2,3.201425878882242
1.74,1,it_org_any = 1,4.075990004694445,4.0281774387126905,4.123802570676199,p5_to_p95,1,2,1,2,3.201425878882242
1.77,1,it_org_any = 1,4.0770392655811705,4.02909421875783,4.124984312404511,p5_to_p95,1,2,1,2,3.201425878882242
1.7999999999999998,1,it_org_any = 1,4.078088526467895,4.030007951343053,4.126169101592738,p5_to_p95,1,2,1,2,3.201425878882242
1.8299999999999998,1,it_org_any = 1,4.07913778735462,4.030918662164613,4.127356912544627,p5_to_p95,1,2,1,2,3.201425878882242
1.8599999999999999,1,it_org_any = 1,4.080187048241346,4.031826377193951,4.12854771928874,p5_to_p95,1,2,1,2,3.201425878882242
1.89,1,it_org_any = 1,4.081236309128071,4.032731122657658,4.129741495598484,p5_to_p95,1,2,1,2,3.201425878882242
1.92,1,it_org_any = 1,4.082285570014797,4.03363292501768,4.130938215011914,p5_to_p95,1,2,1,2,3.201425878882242
1.95,1,it_org_any = 1,4.083334830901522,4.034531810951808,4.132137850851235,p5_to_p95,1,2,1,2,3.201425878882242
1.98,1,it_org_any = 1,4.084384091788246,4.035427807334466,4.133340376242026,p5_to_p95,1,2,1,2,3.201425878882242
2.01,1,it_org_any = 1,4.085433352674972,4.036320941217813,4.134545764132131,p5_to_p95,1,2,1,2,3.201425878882242
2.04,1,it_org_any = 1,4.086482613561698,4.037211239813182,4.135753987310213,p5_to_p95,1,2,1,2,3.201425878882242
2.07,1,it_org_any = 1,4.087531874448423,4.038098730472896,4.13696501842395,p5_to_p95,1,2,1,2,3.201425878882242
2.1,1,it_org_any = 1,4.088581135335148,4.038983440672442,4.138178829997854,p5_to_p95,1,2,1,2,3.201425878882242
2.13,1,it_org_any = 1,4.089630396221873,4.039865397993041,4.1393953944507045,p5_to_p95,1,2,1,2,3.201425878882242
2.16,1,it_org_any = 1,4.090679657108598,4.040744630104632,4.140614684112565,p5_to_p95,1,2,1,2,3.201425878882242
2.19,1,it_org_any = 1,4.091728917995324,4.041621164749257,4.141836671241391,p5_to_p95,1,2,1,2,3.201425878882242
2.2199999999999998,1,it_org_any = 1,4.09277817888205,4.042495029724889,4.14306132803921,p5_to_p95,1,2,1,2,3.201425878882242
2.25,1,it_org_any = 1,4.093827439768775,4.043366252869689,4.144288626667861,p5_to_p95,1,2,1,2,3.201425878882242
2.28,1,it_org_any = 1,4.094876700655499,4.0442348620467135,4.145518539264285,p5_to_p95,1,2,1,2,3.201425878882242
2.31,1,it_org_any = 1,4.095925961542225,4.045100885129072,4.146751037955378,p5_to_p95,1,2,1,2,3.201425878882242
2.34,1,it_org_any = 1,4.09697522242895,4.045964349985539,4.147986094872362,p5_to_p95,1,2,1,2,3.201425878882242
2.37,1,it_org_any = 1,4.098024483315676,4.046825284466633,4.1492236821647195,p5_to_p95,1,2,1,2,3.201425878882242
2.4,1,it_org_any = 1,4.099073744202402,4.047683716391159,4.150463772013644,p5_to_p95,1,2,1,2,3.201425878882242
2.4299999999999997,1,it_org_any = 1,4.1001230050891255,4.04853967353321,4.151706336645041,p5_to_p95,1,2,1,2,3.201425878882242
